level_0,level_1,level_2,L2_data
0,13,8,5.405646200517386e-06
0,13,9,4.881027488976449e-06
0,13,10,3.487116895795165e-06
0,13,11,2.9587900186027287e-06
0,13,12,4.2362428722131125e-06
0,13,13,6.341358644724097e-06
0,13,14,7.174826746918986e-06
0,13,15,5.40653398360602e-06
0,13,16,1.608851238560131e-06
0,13,17,-2.359625193984112e-06
0,13,18,-4.977468371437103e-06
0,13,19,-6.038077618916105e-06
0,13,20,-6.161390085634285e-06
0,13,21,-5.623657126662363e-06
0,13,22,-3.994308608607733e-06
0,13,23,-9.533205648738978e-07
0,13,24,2.6607100171575274e-06
0,14,0,5.783777730717374e-06
0,14,1,6.712745310019735e-06
0,14,2,1.0027939630072943e-05
0,14,3,1.3385581813900987e-05
0,14,4,1.4816483756576406e-05
0,14,5,1.3842365252769262e-05
0,14,6,1.170984705425345e-05
0,14,7,1.0032985742977515e-05
0,14,8,9.924554616844457e-06
0,14,9,1.1405034381830584e-05
0,14,10,1.3843078022123504e-05
0,14,11,1.6112430145250023e-05
0,14,12,1.7295229274168142e-05
0,14,13,1.6808919525222667e-05
0,14,14,1.492381673072816e-05
0,14,15,1.2244384199064405e-05
0,14,16,9.483640388341873e-06
0,14,17,6.876821680320835e-06
0,14,18,4.653262782916863e-06
0,14,19,3.081341053884195e-06
0,14,20,2.754505063775659e-06
0,14,21,3.6485003655007877e-06
0,14,22,4.871962032572065e-06
0,14,23,4.736494124851765e-06
0,14,24,2.5755097628975714e-06
0,15,0,8.964465444011733e-06
0,15,1,5.629073393506821e-06
0,15,2,1.5639895920333656e-06
0,15,3,-8.734481166276248e-07
0,15,4,-6.784439275579312e-07
0,15,5,1.3121163728043266e-06
0,15,6,3.917268072301552e-06
0,15,7,6.66903881357291e-06
0,15,8,9.982338024846165e-06
0,15,9,1.3836216127829139e-05
0,15,10,1.725601078782788e-05
0,15,11,1.8564671185805946e-05
0,15,12,1.6959764633617248e-05
0,15,13,1.315182007285042e-05
0,15,14,9.3108929308445e-06
0,15,15,7.500936993756398e-06
0,15,16,8.675499940599868e-06
0,15,17,1.1842157627658992e-05
0,15,18,1.4857190381907303e-05
0,15,19,1.5349572764494726e-05
0,15,20,1.2423826213790407e-05
0,15,21,6.945883162982708e-06
0,15,22,1.410306197932908e-06
0,15,23,-1.8636945797110608e-06
0,15,24,-1.7073611664105898e-06
0,16,0,-1.1934224416551146e-06
0,16,1,-4.97915511808251e-06
0,16,2,-6.387324178742041e-06
0,16,3,-4.7099133032299695e-06
0,16,4,-1.3907927574854305e-06
0,16,5,1.1837545895548073e-06
0,16,6,1.8349041660739029e-06
0,16,7,1.0646633681798643e-06
0,16,8,2.9702698306175126e-07
0,16,9,1.9208330642383542e-07
0,16,10,4.6247882722252633e-07
0,16,11,4.432326674937324e-07
0,16,12,2.826504726235439e-07
0,16,13,7.130136819846442e-07
0,16,14,2.5169000285979317e-06
0,16,15,5.545700918010561e-06
0,16,16,9.11874924208522e-06
0,16,17,1.2373002091321563e-05
0,16,18,1.4983428297691464e-05
0,16,19,1.6727724199122506e-05
0,16,20,1.747179733490885e-05
0,16,21,1.689333141617827e-05
0,16,22,1.5255598481898638e-05
0,16,23,1.3244067664648546e-05
0,16,24,1.1866085072267545e-05
0,17,0,7.021290755536505e-07
0,17,1,4.5932522595019173e-07
0,17,2,-7.92970195431799e-08
0,17,3,-9.875670827871002e-07
0,17,4,-2.0047820670682e-06
0,17,5,-2.6780696961520954e-06
0,17,6,-2.8608032532349594e-06
0,17,7,-2.9421773089582113e-06
0,17,8,-3.587635083562595e-06
0,17,9,-5.03247752070736e-06
0,17,10,-6.732482944057733e-06
0,17,11,-7.661228319767367e-06
0,17,12,-7.222443386185577e-06
0,17,13,-5.797934891883142e-06
0,17,14,-4.5187655612113616e-06
0,17,15,-4.236246721924055e-06
0,17,16,-4.785492134242316e-06
0,17,17,-5.067843458414975e-06
0,17,18,-4.072219840641926e-06
0,17,19,-1.7253341015596914e-06
0,17,20,1.0124066206225926e-06
0,17,21,3.05416555534406e-06
0,17,22,4.0200308584094815e-06
0,17,23,4.436114284352467e-06
0,17,24,4.9668350321753736e-06
0,18,0,5.876056849438547e-08
0,18,1,1.5812255367744813e-06
0,18,2,4.135028454517871e-06
0,18,3,7.228754459579192e-06
0,18,4,9.757870515142972e-06
0,18,5,1.0684880900572736e-05
0,18,6,9.73366343281345e-06
0,18,7,7.73931443935291e-06
0,18,8,6.0090387033672285e-06
0,18,9,5.480396546370383e-06
0,18,10,6.059662055685281e-06
0,18,11,6.981810869298015e-06
0,18,12,7.3947445813710745e-06
0,18,13,6.972691461358304e-06
0,18,14,5.737048652814784e-06
0,18,15,3.822530357228725e-06
0,18,16,1.233859804063987e-06
0,18,17,-1.7126379059215901e-06
0,18,18,-4.244671920891142e-06
0,18,19,-5.2050754213870035e-06
0,18,20,-3.890587301784723e-06
0,18,21,-5.610001765489909e-07
0,18,22,3.3762804451280365e-06
0,18,23,6.303306547606674e-06
0,18,24,7.235434925809848e-06
0,19,0,8.961389031907177e-06
0,19,1,1.1208634879591465e-05
0,19,2,1.2808136442380608e-05
0,19,3,1.3193772224303897e-05
0,19,4,1.321245855696924e-05
0,19,5,1.42902756611258e-05
0,19,6,1.6942988899067507e-05
0,19,7,2.027389511046014e-05
0,19,8,2.2671743982615623e-05
0,19,9,2.323636557996366e-05
0,19,10,2.2326507255702743e-05
0,19,11,2.1099988176482796e-05
0,19,12,2.028007820680639e-05
0,19,13,1.950688902075047e-05
0,19,14,1.755052446763829e-05
0,19,15,1.3435880852716535e-05
0,19,16,7.3300943994124255e-06
0,19,17,8.867738019113467e-07
0,19,18,-3.6189926921673082e-06
0,19,19,-4.527738709398763e-06
0,19,20,-1.973337456734089e-06
0,19,21,2.2126840118722865e-06
0,19,22,5.505260486781787e-06
0,19,23,6.315191291346186e-06
0,19,24,4.78784824020244e-06
0,20,0,4.375748368355362e-06
0,20,1,5.309217683258182e-06
0,20,2,6.484422677821145e-06
0,20,3,8.269664925609422e-06
0,20,4,1.055962502376328e-05
0,20,5,1.2577841900268903e-05
0,20,6,1.3599714519379722e-05
0,20,7,1.363729734407978e-05
0,20,8,1.3401450264447806e-05
0,20,9,1.3415912953939682e-05
0,20,10,1.3404304579773225e-05
0,20,11,1.2602801097966233e-05
0,20,12,1.0796164017151802e-05
0,20,13,8.69313303780199e-06
0,20,14,7.29242057796125e-06
0,20,15,6.691737419318983e-06
0,20,16,5.998324292846473e-06
0,20,17,4.419028317926313e-06
0,20,18,2.526659650112912e-06
0,20,19,1.904630338518008e-06
0,20,20,3.5645473489662682e-06
0,20,21,6.491754645531765e-06
0,20,22,8.27258643779688e-06
0,20,23,7.170252608193189e-06
